1587595358184740,0,0,-0.13,-0.04,0.03,0.16,0.10,-0.04
1587595358194946,0,0,-0.13,-0.04,0.04,0.14,0.09,-0.04
1587595358206287,0,0,-0.12,-0.03,0.06,0.12,0.11,-0.05
1587595358218810,0,0,-0.12,-0.04,0.08,0.01,0.14,-0.04
1587595358228443,0,0,-0.12,-0.04,0.08,-0.11,0.17,-0.03
1587595358257491,0,0,-0.12,0.00,0.10,-0.36,0.11,0.04
1587595358268529,0,0,-0.11,0.02,0.08,-0.47,0.11,0.05
1587595358277696,0,0,-0.11,-0.02,0.02,-0.50,0.10,0.05
1587595358289205,0,0,-0.11,0.06,-0.01,-0.34,0.10,0.02
1587595358315989,0,0,-0.14,0.04,-0.02,-0.09,0.09,-0.02
1587595358327021,0,0,-0.11,0.04,-0.00,-0.03,0.05,-0.02
1587595358336264,0,0,-0.12,-0.00,0.01,-0.08,0.01,-0.01
1587595358347830,0,0,-0.12,-0.03,0.03,-0.10,-0.00,-0.01
1587595358374577,0,0,-0.13,0.01,0.06,-0.11,0.04,0.04
1587595358385563,0,0,-0.11,0.02,0.05,-0.27,0.03,0.05
1587595358394801,0,0,-0.10,0.00,0.03,-0.31,-0.01,0.05
1587595358406992,0,0,-0.09,0.01,0.01,-0.34,-0.03,0.06
1587595358433705,0,0,-0.10,0.10,0.07,-0.35,-0.07,-0.13
1587595358444681,0,0,-0.15,0.07,0.10,-0.70,-0.06,-0.15
1587595358453952,0,0,-0.15,0.05,0.11,-0.81,-0.07,-0.22
1587595358465555,0,0,-0.10,0.01,0.10,-0.93,-0.07,-0.26
1587595358492248,0,0,-0.07,-0.02,0.04,-0.96,-0.08,-0.07
1587595358503242,0,0,-0.04,-0.12,0.05,-0.75,-0.08,-0.09
1587595358512474,0,0,-0.04,-0.18,0.03,-0.59,-0.05,0.01
1587595358524070,0,0,-0.05,-0.20,0.06,-0.23,0.05,-0.00
1587595358550720,0,0,-0.05,-0.19,0.09,0.01,0.06,0.09
1587595358561695,0,0,-0.03,-0.18,0.03,0.53,0.18,0.10
1587595358570927,0,0,-0.02,-0.16,0.03,0.68,0.22,0.12
1587595358599931,0,0,-0.07,-0.10,0.10,0.91,0.26,0.13
1587595358609170,0,0,-0.11,0.03,0.09,0.96,0.27,0.07
1587595358619994,0,0,-0.12,0.09,0.11,0.85,0.25,0.05
1587595358629209,0,0,-0.12,0.17,0.11,0.69,0.22,0.02
1587595358638362,0,0,-0.12,0.26,0.12,0.48,0.17,-0.10
1587595358667466,0,0,-0.08,0.33,0.08,-0.60,0.02,-0.23
1587595358679088,0,0,-0.07,0.27,0.07,-1.09,-0.01,-0.34
1587595358688321,0,0,-0.08,0.15,0.05,-1.39,-0.06,-0.39
1587595358699830,0,0,-0.08,0.02,0.08,-1.56,-0.08,-0.41
1587595358726629,0,0,-0.14,-0.27,0.03,-1.39,-0.13,-0.11
1587595358737592,0,0,-0.10,-0.38,0.04,-0.96,-0.16,-0.03
1587595358746821,0,0,-0.10,-0.32,0.07,-0.58,-0.14,0.12
1587595358758336,0,0,-0.06,-0.27,0.08,-0.13,-0.10,0.09
1587595358785025,0,0,-0.06,-0.12,0.07,0.04,0.01,-0.03
1587595358795999,0,0,-0.05,-0.08,0.07,0.42,0.03,0.03
